Date,Open,High,Low,Close,Volume
2024-04-25T04:00:00-04:00,154.25,154.56,154.13,154.55,0.0
2024-04-25T04:02:00-04:00,154.4,154.48,154.27,154.27,0.0
2024-04-25T04:04:00-04:00,154.27,154.39,154.26,154.27,0.0
2024-04-25T04:06:00-04:00,154.31,154.31,154.31,154.31,0.0
2024-04-25T04:08:00-04:00,154.31,154.56,154.31,154.56,0.0
2024-04-25T04:10:00-04:00,154.49,154.52,154.4,154.46,0.0
2024-04-25T04:12:00-04:00,154.36,154.54,154.31,154.38,0.0
2024-04-25T04:14:00-04:00,154.38,154.51,154.37,154.41,0.0
2024-04-25T04:16:00-04:00,154.44,154.62,154.44,154.62,0.0
2024-04-25T04:18:00-04:00,154.6,154.6,154.47,154.5,0.0
2024-04-25T04:20:00-04:00,154.48,154.55,154.48,154.55,0.0
2024-04-25T04:22:00-04:00,154.47,154.47,154.47,154.47,0.0
2024-04-25T04:24:00-04:00,154.47,154.55,154.43,154.55,0.0
2024-04-25T04:26:00-04:00,154.54,154.54,154.45,154.45,0.0
2024-04-25T04:28:00-04:00,154.41,154.45,154.38,154.45,0.0
2024-04-25T04:30:00-04:00,154.47,154.47,154.37,154.38,0.0
2024-04-25T04:32:00-04:00,154.38,154.48,154.38,154.45,0.0
2024-04-25T04:34:00-04:00,154.48,154.48,154.43,154.48,0.0
2024-04-25T04:36:00-04:00,154.48,154.64,154.48,154.57,0.0
2024-04-25T04:38:00-04:00,154.59,154.88,154.57,154.88,0.0
2024-04-25T04:40:00-04:00,154.77,154.88,154.73,154.73,0.0
2024-04-25T04:42:00-04:00,154.83,154.84,154.83,154.84,0.0
2024-04-25T04:44:00-04:00,154.75,154.78,154.72,154.78,0.0
2024-04-25T04:46:00-04:00,154.78,154.92,154.78,154.92,0.0
2024-04-25T04:48:00-04:00,154.92,154.96,154.86,154.96,0.0
2024-04-25T04:52:00-04:00,154.77,154.77,154.72,154.72,0.0
2024-04-25T04:54:00-04:00,154.72,154.72,154.72,154.72,0.0
2024-04-25T04:56:00-04:00,154.71,154.71,154.48,154.48,0.0
2024-04-25T04:58:00-04:00,154.48,154.5,154.38,154.5,0.0
2024-04-25T05:02:00-04:00,154.41,154.58,154.39,154.5,0.0
2024-04-25T05:04:00-04:00,154.52,154.64,154.51,154.63,0.0
2024-04-25T05:06:00-04:00,154.63,154.63,154.63,154.63,0.0
2024-04-25T05:08:00-04:00,154.63,154.63,154.63,154.63,0.0
2024-04-25T05:12:00-04:00,154.54,154.63,154.51,154.55,0.0
2024-04-25T05:14:00-04:00,154.54,154.64,154.5,154.64,0.0
2024-04-25T05:18:00-04:00,154.65,154.65,154.6,154.64,0.0
2024-04-25T05:20:00-04:00,154.65,154.68,154.65,154.68,0.0
2024-04-25T05:22:00-04:00,154.65,154.7,154.65,154.7,0.0
2024-04-25T05:24:00-04:00,154.65,154.69,154.57,154.65,0.0
2024-04-25T05:26:00-04:00,154.65,154.69,154.65,154.69,0.0
2024-04-25T05:28:00-04:00,154.69,154.69,154.6,154.6,0.0
2024-04-25T05:30:00-04:00,154.6,154.73,154.6,154.72,0.0
2024-04-25T05:32:00-04:00,154.72,154.72,154.7,154.7,0.0
2024-04-25T05:36:00-04:00,154.69,154.69,154.69,154.69,0.0
2024-04-25T05:38:00-04:00,154.7,154.81,154.7,154.81,0.0
2024-04-25T05:40:00-04:00,154.82,154.82,154.8,154.8,0.0
2024-04-25T05:42:00-04:00,154.8,154.94,154.8,154.94,0.0
2024-04-25T05:44:00-04:00,154.89,155.03,154.83,155.03,0.0
2024-04-25T05:46:00-04:00,155.06,155.08,154.98,155.06,0.0
2024-04-25T05:48:00-04:00,155.0,155.08,155.0,155.08,0.0
2024-04-25T05:50:00-04:00,155.08,155.08,155.08,155.08,0.0
2024-04-25T05:52:00-04:00,155.0,155.06,154.9,154.9,0.0
2024-04-25T05:54:00-04:00,154.81,154.81,154.73,154.76,0.0
2024-04-25T05:58:00-04:00,154.78,154.78,154.78,154.78,0.0
2024-04-25T06:02:00-04:00,154.87,154.87,154.87,154.87,0.0
2024-04-25T06:04:00-04:00,154.88,154.88,154.85,154.85,0.0
2024-04-25T06:06:00-04:00,154.83,154.84,154.68,154.74,0.0
2024-04-25T06:08:00-04:00,154.72,154.72,154.72,154.72,0.0
2024-04-25T06:10:00-04:00,154.7,154.73,154.7,154.73,0.0
2024-04-25T06:12:00-04:00,154.7,154.7,154.7,154.7,0.0
2024-04-25T06:14:00-04:00,154.62,154.62,154.61,154.61,0.0
2024-04-25T06:16:00-04:00,154.61,154.61,154.55,154.56,0.0
2024-04-25T06:18:00-04:00,154.5,154.5,154.5,154.5,0.0
2024-04-25T06:20:00-04:00,154.51,154.51,154.43,154.43,0.0
2024-04-25T06:22:00-04:00,154.48,154.62,154.48,154.62,0.0
2024-04-25T06:24:00-04:00,154.67,154.67,154.67,154.67,0.0
2024-04-25T06:26:00-04:00,154.69,154.7,154.58,154.58,0.0
2024-04-25T06:28:00-04:00,154.65,154.65,154.34,154.4,0.0
2024-04-25T06:30:00-04:00,154.44,154.44,154.34,154.41,0.0
2024-04-25T06:32:00-04:00,154.47,154.49,154.4,154.49,0.0
2024-04-25T06:34:00-04:00,154.49,154.49,154.45,154.47,0.0
2024-04-25T06:36:00-04:00,154.46,154.51,154.38,154.38,0.0
2024-04-25T06:38:00-04:00,154.4,154.47,154.39,154.4,0.0
2024-04-25T06:40:00-04:00,154.48,154.75,154.48,154.75,0.0
2024-04-25T06:42:00-04:00,154.71,154.77,154.6,154.6,0.0
2024-04-25T06:44:00-04:00,154.6,154.64,154.6,154.64,0.0
2024-04-25T06:46:00-04:00,154.61,154.61,154.61,154.61,0.0
2024-04-25T06:48:00-04:00,154.62,154.62,154.6,154.6,0.0
2024-04-25T06:50:00-04:00,154.72,154.8,154.72,154.8,0.0
2024-04-25T06:52:00-04:00,154.71,154.74,154.71,154.74,0.0
2024-04-25T06:54:00-04:00,154.69,154.73,154.63,154.73,0.0
2024-04-25T06:56:00-04:00,154.7,154.7,154.53,154.63,0.0
2024-04-25T06:58:00-04:00,154.65,154.7,154.64,154.7,0.0
2024-04-25T07:00:00-04:00,154.74,154.76,154.65,154.68,0.0
2024-04-25T07:02:00-04:00,154.72,154.72,154.63,154.66,0.0
2024-04-25T07:04:00-04:00,154.61,154.68,154.57,154.65,0.0
2024-04-25T07:06:00-04:00,154.65,154.67,154.5,154.61,0.0
2024-04-25T07:08:00-04:00,154.5,154.51,154.48,154.51,0.0
2024-04-25T07:10:00-04:00,154.51,154.52,154.33,154.39,0.0
2024-04-25T07:12:00-04:00,154.41,154.45,154.37,154.45,0.0
2024-04-25T07:14:00-04:00,154.44,154.46,154.44,154.46,0.0
2024-04-25T07:16:00-04:00,154.45,154.55,154.45,154.49,0.0
2024-04-25T07:18:00-04:00,154.49,154.56,154.39,154.56,0.0
2024-04-25T07:20:00-04:00,154.59,154.74,154.59,154.74,0.0
2024-04-25T07:22:00-04:00,154.75,154.75,154.7,154.7,0.0
2024-04-25T07:24:00-04:00,154.64,154.7,154.57,154.69,0.0
2024-04-25T07:26:00-04:00,154.69,154.71,154.65,154.65,0.0
2024-04-25T07:28:00-04:00,154.67,154.67,154.53,154.53,0.0
2024-04-25T07:30:00-04:00,154.56,154.56,154.49,154.49,0.0
2024-04-25T07:32:00-04:00,154.53,154.58,154.5,154.55,0.0
2024-04-25T07:34:00-04:00,154.56,154.56,154.5,154.5,0.0
2024-04-25T07:36:00-04:00,154.48,154.49,154.36,154.4,0.0
2024-04-25T07:38:00-04:00,154.39,154.4,154.36,154.4,0.0
2024-04-25T07:40:00-04:00,154.49,154.51,154.49,154.51,0.0
2024-04-25T07:44:00-04:00,154.61,154.7,154.61,154.7,0.0
2024-04-25T07:46:00-04:00,154.7,154.7,154.7,154.7,0.0
2024-04-25T07:48:00-04:00,154.72,154.76,154.67,154.67,0.0
2024-04-25T07:50:00-04:00,154.7,154.7,154.69,154.7,0.0
2024-04-25T07:52:00-04:00,154.72,154.76,154.65,154.65,0.0
2024-04-25T07:54:00-04:00,154.7,154.72,154.7,154.72,0.0
2024-04-25T07:56:00-04:00,154.68,154.75,154.68,154.75,0.0
2024-04-25T07:58:00-04:00,154.73,154.77,154.73,154.75,0.0
2024-04-25T08:00:00-04:00,154.69,154.8974,153.67,154.65,0.0
2024-04-25T08:02:00-04:00,154.69,154.7,154.57,154.7,0.0
2024-04-25T08:04:00-04:00,154.69,154.69,154.37,154.45,0.0
